Project Name,Customer Name,Connection Site,Stage,MW Connected,MW Increase / Decrease,Cumulative Total Capacity (MW),MW Effective From,Project Status,Agreement Type,HOST TO,Plant Type,Project ID,Project No
Stanley Water WTW BESS,Bluestone Energy Ltd,REVIEW - Well Street Paisley 132kV,,0,60,60,2025-06-30,Scoping,Embedded,SPT,Energy Storage System,a0l4L0000005iWk,PRO-002414
St Asaph SSE,SSE DE SOLAR HOLDCO LIMITED,Bodelwyddan 400kV Substation,,0,600,600,2037-11-01,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000f40u,PRO-003816
Staythorpe,ENSO GREEN HOLDINGS LIMITED,Staythorpe 400kV Substation,,0,400,400,2030-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005idg,PRO-002083
Staythorpe (BESS and PV),SSE STAYTHORPE POWER LIMITED,Staythorpe 400kV Substation,,0,437,437,2026-05-29,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ixD,PRO-001615
Staythorpe C,RWE GENERATION UK PLC,Staythorpe 400kv,,1752,0,1752,,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005imB,PRO-000057
St Dennis Hendra,SAMBAR POWER LIMITED,Indian Queens 400kV Substation,,0,47.5,47.5,2024-10-31,Consents Approved,Directly Connected,NGET,Energy Storage System,a0l4L0000005ivr,PRO-001133
Steel Point (aka Project Lithium),Skelmersdale Energy Storage Limited,Washway Farm GSP,,49.9,0,49.9,,Built,Embedded,NGET,Energy Storage System,a0l4L0000005iTk,PRO-002057
St Marys Isle Solar Farm,REG Power Developments Limited,Tongland GSP,,0,36,36,2027-08-27,Scoping,Embedded,SPT,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wiL,PRO-002789
Stoke Bardolph,ORRÖN ENERGY DEVELOPMENT LIMITED,Stoke Bardolph 400kV Substation,,0,1000,1000,2032-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000TPQb,PRO-003405
Stoke Bardolph 400,ENSO GREEN HOLDINGS LIMITED,Stoke Bardolph 400kV Substation,1,0,200,200,2030-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iti,PRO-002191-1
Stoke Bardolph 400,ENSO GREEN HOLDINGS LIMITED,Stoke Bardolph 400kV Substation,2,0,100,300,2031-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iti,PRO-002191-2
Stoke Bardolph 400,ENSO GREEN HOLDINGS LIMITED,Stoke Bardolph 400kV Substation,3,0,100,400,2032-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iti,PRO-002191-3
STOR Field 9 BESS,EKU ENERGY FAUNE PROJECTS (UK) LIMITED,Inverkeithing GSP,,0,49.9,49.9,2029-07-30,Scoping,Embedded,SPT,Energy Storage System,a0l4L0000005j9n,PRO-002528
Stornoway Wind Farm,STORNOWAY WIND FARM LIMITED,Stornoway 132/33kV Substation,,0,180,180,2027-05-31,Consents Approved,Directly Connected,SHET,Wind Onshore,a0l4L0000005ixY,PRO-000346
Stracathro BESS,OPDE UK LIMITED,Stracathro BESS 275kV Substation,,0,249,249,2032-06-30,Scoping,Directly Connected,SHET,Demand; Energy Storage System,a0l4L0000005itt,PRO-002392
Stranoch Wind Farm,EDF ENERGY RENEWABLES LIMITED,Stranoch Wind 132/33KV Substation,,0,102,102,2025-08-29,Consents Approved,Directly Connected,SPT,Wind Onshore,a0l4L0000005inq,PRO-000127
StrataStore - Cheshire Energy Storage Facility,EDF ENERGY (GAS STORAGE) LIMITED,Cellarhead 132kV Substation,,0,200,200,2037-11-30,Scoping,Directly Connected,NGET,Energy Storage System; Reactive Compensation,a0l8e000000f6K5,PRO-003978
Strathrory Wind Farm,ENERGYFARM UK STRATHRORY LLP,Alness GSP,,0,36,36,2024-03-31,Consents Approved,Embedded,SHET,Wind Onshore,a0l4L0000005iUP,PRO-001812
Strath Tirry (keep),Strath Tirry Wind Energy 2021 Ltd,Lairg GSP,1,0,20,20,2025-10-31,Scoping,Embedded,SHET,Energy Storage System; Wind Onshore,a0l4L0000005iXp,PRO-001363-1
Strath Tirry (keep),Strath Tirry Wind Energy 2021 Ltd,Lairg GSP,2,0,14.8,34.8,2027-09-30,Scoping,Embedded,SHET,Energy Storage System; Wind Onshore,a0l4L0000005iXp,PRO-001363-2
Strathy North Wind,STRATHY WIND FARM LIMITED,Strathy North 132/33kV Substation,,67.65,0,67.65,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005ihR,PRO-001553
Strathy South Wind,SSE GENERATION LIMITED,Strathy South 132/33kV Substation,,0,207.6,207.6,2025-12-01,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ix6,PRO-000183
Strathy Wood,RWE RENEWABLES UK ONSHORE WIND LIMITED,Strathy Wood 132/33kV Substation,1,0,54.4,54.4,2025-05-01,Awaiting Consents,Directly Connected,SHET,Wind Onshore,a0l4L0000005ion,PRO-000154-1
Strathy Wood,RWE RENEWABLES UK ONSHORE WIND LIMITED,Strathy Wood 132/33kV Substation,2,0,9.1,63.5,2025-08-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ion,PRO-000154-2
Strichen North BESS,MUIRDEN ENERGY LLP,Strichen GSP,,0,25,25,2033-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e000001Hr31,PRO-004177
Stronelairg,STRONELAIRG WIND FARM LIMITED,Stronelairg 132/33kV Substation,,227.8,0,227.8,,Built,Directly Connected,SHET,Wind Onshore,a0l4L0000005ipU,PRO-000184
Sudmeadow,VIRIDIS 178 LIMITED,Port Ham 132kV Substation,,41.76,0,41.76,,Built,Embedded,NGET,Thermal,a0l4L0000005iVs,PRO-000243
Sulgrave Solar PV,EDF ENERGY RENEWABLES LIMITED,East Claydon GSP (SEPD),,0,129.8,129.8,2026-10-30,Scoping,Directly Connected,NGET,PV Array (Photo Voltaic/solar),a0l4L0000005iXO,PRO-001572
Sunbury BESS,SUNBURY BESS LTD,Laleham GSP (SEPD),,0,200,200,2031-02-24,Scoping,Embedded,NGET,Energy Storage System,a0l4L0000005iQR,PRO-001883
Sundhope Wind Farm,Sundhope Energy Limited,Sundhope 132kV Substation,,0,180,180,2033-05-30,Scoping,Directly Connected,SPT,Wind Onshore,a0l8e0000010wgP,PRO-002767
Sundon,SUNDON BATTERY STORAGE LIMITED,Sundon 400kV Substation,,0,49.5,49.5,2024-05-01,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ifQ,PRO-001132
Sundon,SUNDON GREEN LIMITED,Sundon GSP,,0,39.9,39.9,2023-11-10,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005inv,PRO-000473
Sundon BESS,CSE30 LIMITED,Sundon 400kV Substation,,0,300,300,2031-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ibD,PRO-002039
Sundon Farm,548 UK INVESTMENT HOLDINGS LIMITED,Sundon 400kV Substation,,0,200,200,2033-04-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010wZ7,PRO-002685
Sundon Farm 2,548 UK INVESTMENT HOLDINGS LIMITED,Sundon 400kV Substation,,0,700,700,2032-10-29,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e0000010weT,PRO-002746
Sundon Pivoted Power,PIVOTED POWER LLP,Sundon 400kV Substation,,0,49.9,49.9,2023-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005ifX,PRO-001123
Sundon Storage,STATERA ENERGY LIMITED,Sundon 400kV Substation,,0,500,500,2031-12-19,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ivx,PRO-001910
Sunnica,SUNNICA LIMITED,Burwell Main 400kV Substation,,0,500,500,2027-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ilS,PRO-000393
Sutton Bridge,SUTTON BRIDGE POWER GENERATION,Walpole 400kV Substation,,850,0,850,,Built,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005iq6,PRO-000207
Swaffham PV & BESS,IGP INTERNATIONAL PROSPECTING LIMITED,Swaffham 400KV Substation,,0,500,500,2033-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000000eyK3,PRO-003754
Swansea,ENSO GREEN HOLDINGS LIMITED,Swansea North 400kV Substation,,0,400,400,2030-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar); Wind Onshore,a0l4L0000005idj,PRO-002086
Swansea Greener Grid Park - Connection 1,Swansea Grid Solutions Limited,Swansea North 400kV Substation,1,0,12,12,2024-08-31,Consents Approved,Directly Connected,NGET,Energy Storage System; Reactive Compensation,a0l4L0000005ifa,PRO-001120-1
Swansea Greener Grid Park - Connection 1,Swansea Grid Solutions Limited,Swansea North 400kV Substation,2,0,85,97,2028-10-31,Scoping,Directly Connected,NGET,Energy Storage System; Reactive Compensation,a0l4L0000005ifa,PRO-001120-2
Swansea Greener Grid Park - Connection 2,Swansea Grid Solutions Limited,Swansea North 400kV Substation,,0,0,0,2025-07-31,Scoping,Directly Connected,NGET,Reactive Compensation,a0l4L0000005ibI,PRO-002044
Swansea North,PIVOTED POWER LLP,Swansea North 400kV Substation,,0,49.9,49.9,2026-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005ifb,PRO-001119
Swansea North Green Energy Centre,INNOVA RENEWABLES LIMITED,Swansea North 400kV Substation,,0,1025,1025,2028-10-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iyg,PRO-001794
Talladh a Bheithe,MUIRDEN ENERGY LLP,Rannoch GSP,,0,20,20,2035-10-31,Scoping,Embedded,SHET,Energy Storage System,a0l8e0000012012,PRO-003605
Tamar-Hartmoor,TI PROJECTCO 3 LIMITED,Hartmoor 275kV Substation,,0,0,0,2025-05-31,Scoping,Directly Connected,NGET,Reactive Compensation,a0l8e0000010wOO,PRO-002570
Tamar-Landulph,TI PROJECTCO 1 LIMITED,Landulph 400kV Substation,,0,0,0,2025-10-31,Scoping,Directly Connected,NGET,Reactive Compensation,a0l8e0000010wOy,PRO-002581
Tamar-Richborough,TI PROJECTCO 2 LIMITED,Richborough 400kV Substation,,0,0,0,2025-10-31,Scoping,Directly Connected,NGET,Reactive Compensation,a0l4L000002yQaN,PRO-002560
Tangy IV WF,SSE RENEWABLES SERVICES (UK) LIMITED,Tangy IV 132KV Substation,,0,96,96,2026-10-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iz2,PRO-001408
Tarbuckle Hill Wind Farm,ENERGIEKONTOR UK LTD,Cairnford GSP,,0,39.6,39.6,2031-10-31,Scoping,Embedded,SHET,Wind Onshore,a0l8e0000010x1D,PRO-003045
Tarenni,TARENNI ENERGY PARK LIMITED,Rhigos 400kV Substation,,0,188,188,2028-10-01,Scoping,Directly Connected,NGET,Wind Onshore,a0l4L0000005iNd,PRO-001641
Tarland Battery Storage System,Tarland Limited,Tarland GSP,,0,20,20,2026-10-31,Consents Approved,Embedded,SHET,Energy Storage System,a0l4L0000005iRy,PRO-000922
Taunton,PIVOTED POWER LLP,Taunton 400kV Substation,1,0,49.9,49.9,2029-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005icp,PRO-001073-1
Taunton,PIVOTED POWER LLP,Taunton 400kV Substation,2,0,50.1,100,2036-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l4L0000005icp,PRO-001073-2
Taylors Lane,UNIPER UK LIMITED,Willesden 132kV Substation,,140,0,140,,Built,Embedded,NGET,OCGT (Open Cycle Gas Turbine),a0l4L0000005iVS,PRO-000149
Tealing BESS (100MW),GPC 1039 Ltd,Tealing 132kV Substation,,0,100,100,2028-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l4L0000005itb,PRO-002436
Tealing Energy Park,Banks Renewables Limited,Tealing 400kV Substation,,0,1400,1400,2033-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e0000010xh8,PRO-003084
Tealing Solar & Storage,ECODEV GROUP LTD,Tealing IDNO 132/33kV GSP,,0,80,80,2026-10-31,Awaiting Consents,Embedded,SHET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iU1,PRO-001501
Tees CCPP,SEMBCORP UTILITIES (UK) LIMITED,Greystones A and B 275kV Substations,1,0,150,150,2023-09-30,Under Construction/Commissioning,Directly Connected,NGET,Energy Storage System; OCGT (Open Cycle Gas Turbine),a0l4L0000005ibW,PRO-001048-1
Tees CCPP,SEMBCORP UTILITIES (UK) LIMITED,Greystones A and B 275kV Substations,2,0,210,360,2024-09-30,Consents Approved,Directly Connected,NGET,Energy Storage System; OCGT (Open Cycle Gas Turbine),a0l4L0000005ibW,PRO-001048-2
Tees CCPP,SEMBCORP UTILITIES (UK) LIMITED,Greystones A and B 275kV Substations,3,0,340,700,2026-03-11,Consents Approved,Directly Connected,NGET,Energy Storage System; OCGT (Open Cycle Gas Turbine),a0l4L0000005ibW,PRO-001048-3
Tees CCPP,SEMBCORP UTILITIES (UK) LIMITED,Greystones A and B 275kV Substations,4,0,490,1190,2027-09-30,Consents Approved,Directly Connected,NGET,Energy Storage System; OCGT (Open Cycle Gas Turbine),a0l4L0000005ibW,PRO-001048-4
Tees CCPP,SEMBCORP UTILITIES (UK) LIMITED,Greystones A and B 275kV Substations,5,0,275,1465,2027-09-30,Consents Approved,Directly Connected,NGET,Energy Storage System; OCGT (Open Cycle Gas Turbine),a0l4L0000005ibW,PRO-001048-5
Tees CCPP,SEMBCORP UTILITIES (UK) LIMITED,Greystones A and B 275kV Substations,6,0,235,1700,2030-09-30,Consents Approved,Directly Connected,NGET,Energy Storage System; OCGT (Open Cycle Gas Turbine),a0l4L0000005ibW,PRO-001048-6
Tees Renewable Energy Plant,MGT TEESSIDE LIMITED,Lackenby GSP,,285,0,285,,Built,Directly Connected,NGET,Biomass,a0l4L0000005irs,PRO-000278
Teindland Wind Farm,TEINDLAND WIND FARM LIMITED,Teindland 132/33KV Wind Farm Substation,,0,112.2,112.2,2027-10-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iNk,PRO-001821
Temple Oaks Renewable Energy Park,RIDGE CLEAN ENERGY LTD,Bicker Fen 400kV Substation,,0,240,240,2033-10-30,Awaiting Consents,Embedded,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iXj,PRO-002118
Teviot Wind Farm,TEVIOT WF LIMITED,Teviot Wind Farm Substation,,0,522.9,522.9,2033-05-30,Scoping,Directly Connected,SPT,Wind Onshore,a0l4L0000005iPb,PRO-000855
Tewitt Farm BESS,GPC Battery Ltd,Bradford West GSP,,0,200,200,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000f5Bd,PRO-003917
Thainstone Energy Park,AGILE ENERGY RECOVERY (INVERURIE) LIMITED,Kintore GSP,,0,40,40,2023-07-31,Consents Approved,Embedded,SHET,Waste,a0l4L0000005iU0,PRO-001493
Thanet Offshore Wind Farm,THANET OFFSHORE WIND LIMITED,Thanet 33/132kV Offshore Substation,,300,0,300,,Built,Directly Connected,OFTO,Wind Offshore,a0l4L0000005iqB,PRO-000212
TH Bridge Farm,FRV TH Powertek Limited,Imperial Park 400kV Substation,,0,400,400,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000TPS9,PRO-003425
TH Didcot,FRV TH Powertek Limited,Didcot 400kV Substation,,0,200,200,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000TPSD,PRO-003426
THE CLEAN FUTURE,THE CLEAN FUTURE RENEWABLES LIMITED,Killingholme 400kV Substation,,0,500,500,2033-05-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iaF,PRO-002019
Thetford,EPR THETFORD LIMITED,Bramford 400kV Substation,,41,0,41,,Built,Embedded,NGET,Biomass,a0l4L0000005iVp,PRO-000237
TH Knaresborough,FRV TH Powertek Limited,Knaresborough 275kV Substation,,0,200,200,2036-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000001Hpdt,PRO-004131
TH Maes Melin,FRV TH Powertek Limited,Swansea North 275kV Substation,,0,200,200,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000TPS8,PRO-003424
Thormanby Solar PV & BESS,BAYWA R.E. UK LIMITED,Thormanby 400kV Substation,,0,350,350,2033-10-28,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iuy,PRO-002123
Thorney Edge,ARLINGTON (GROUP SERVICES) LIMITED,Cellarhead 400kV Substation,,0,300,300,2037-11-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iu3,PRO-002327
Thornlemuir Farm,GPC 1119 Ltd,Neilston 132kV Substation,,0,150,150,2027-09-30,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e0000011zs8,PRO-003600
Thornton,IGP SOLAR 19 LIMITED,Thornton 400kV Substation,,0,500,500,2031-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iOr,PRO-001647
Thornton BESS,CSWE 9 LIMITED,Thornton 400kV Substation,,0,200,200,2034-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e000000ewjR,PRO-003684
Thornton Facility,BALWEN LIMITED,Thornton 400kV Substation,1,0,99.98,99.98,2024-10-25,Under Construction/Commissioning,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ieb,PRO-001484-1
Thornton Facility,BALWEN LIMITED,Thornton 400kV Substation,2,0,99.98,199.96,2026-10-23,Consents Approved,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ieb,PRO-001484-2
Thornton Facility,BALWEN LIMITED,Thornton 400kV Substation,3,0,200,399.96,2028-10-27,Consents Approved,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ieb,PRO-001484-3
Thornton Facility,BALWEN LIMITED,Thornton 400kV Substation,4,0,530.03,929.99,2031-11-28,Consents Approved,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ieb,PRO-001484-4
Thornton PV & BESS Sub,O&G Solar (SPV 46) Limited,Thornton B 400kV Substation,,0,249.9,249.9,2035-10-26,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l8e000001Hpem,PRO-004141
Thorpe Marsh 1 (Tertiary),ENSO GREEN HOLDINGS LIMITED,Thorpe Marsh 400kV Substation,1,0,49.9,49.9,2024-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iny,PRO-000470-1
Thorpe Marsh 1 (Tertiary),ENSO GREEN HOLDINGS LIMITED,Thorpe Marsh 400kV Substation,2,0,7.1,57,2026-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iny,PRO-000470-2
Thorpe Marsh Energy Park,Banks Renewables Limited,Thorpe Marsh 400kV Substation,,0,1400,1400,2026-10-30,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iNO,PRO-001620
Thorpe Marsh Green Energy Centre,INNOVA RENEWABLES LIMITED,Thorpe Marsh 400kV Substation,1,0,400,400,2030-10-30,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005igN,PRO-001724-1
Thorpe Marsh Green Energy Centre,INNOVA RENEWABLES LIMITED,Thorpe Marsh 400kV Substation,2,0,625,1025,2032-08-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005igN,PRO-001724-2
TH Stocking Pelham,FRV TH Powertek Limited,Pelham 400kV Substation,,0,400,400,2032-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e0000010wiV,PRO-002791
TH Stow Manor,FRV TH Powertek Limited,Cottam 400kV Substation,,0,400,400,2033-10-31,Awaiting Consents,Directly Connected,NGET,Energy Storage System,a0l8e0000010xfQ,PRO-003077
Thurcroft BESS,HARMONY ENERGY LIMITED,Thurcroft GSP,,0,99.9,99.9,2031-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005iwj,PRO-002313
Thurrock Power Station,THURROCK POWER LIMITED,Tilbury 275kV Substation,,0,750,750,2024-10-31,Scoping,Directly Connected,NGET,Energy Storage System; Gas Reciprocating,a0l4L0000005ivp,PRO-000494
Thurso South BESS,WP Grid Storage 3 Limited,Thurso South 275kV Substation’,,0,100,100,2030-10-31,Scoping,Directly Connected,SHET,Energy Storage System,a0l8e000000ewOO,PRO-003655
Thurso South Synchronous Compensation,THURSO GRID SERVICES LIMITED,Thurso GSP,,0,0,0,2023-10-31,Consents Approved,Directly Connected,SHET,Reactive Compensation,a0l4L0000005iap,PRO-001415
TH West Weybridge,FRV TH Powertek Limited,West Weybridge 400kV Substation,,0,200,200,2037-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l8e0000011ycr,PRO-003531
Tilbury,TILBURY GREEN POWER LIMITED,Tilbury 132kV Substation,,43,0,43,,Built,Embedded,NGET,Biomass,a0l4L0000005iVq,PRO-000238
Tillbridge Solar,TILLBRIDGE SOLAR LIMITED,Cottam 400kV Substation,,0,500,500,2027-10-01,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ifW,PRO-001126
Tinnisburn Wind Farm,BAYWA R.E. UK LIMITED,Gretna Green 132 kV Substation,,0,70,70,2031-10-30,Scoping,Directly Connected,SPT,Energy Storage System;Wind Onshore,a0l8e000000f7BU,PRO-003997
TINZ Nene 4 (Richborough),TINZ PROGRAMME 3 PROJECTCO 4 LIMITED,Richborough 400kV Substation,,0,0,0,2025-05-30,Scoping,Directly Connected,NGET,Reactive Compensation,a0l4L0000005iYo,PRO-001953
TINZ Project Nene 1 (Landulph),TINZ PROGRAMME 3 PROJECTCO 1 LIMITED,Landulph 400kV Substation,,0,1,1,2025-04-01,Scoping,Directly Connected,NGET,Reactive Compensation,a0l4L0000005iYy,PRO-001968
Toddleburn Wind Farm,SSE TODDLEBURN LIMITED,Toddleburn 33kV Substation,,27.6,0,27.6,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005ipV,PRO-000185
Tolkien Solar Farm,Tolkien Solar Farm Limited,Tolkien Farm 132kV Substation,,0,200,200,2033-10-31,Scoping,Directly Connected,SHET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005ikf,PRO-002294
Tollgate 49.5MW BESS,Tollgate Energy Storage Limited,Hatfield 33kV Substation,,0,49.5,49.5,2023-01-31,Consents Approved,Embedded,NGET,Energy Storage System,a0l4L0000005iM3,PRO-002372
Tomchrasky Wind Farm,E Power Limited,Tomchrasky Wind Farm 132kV Substation,,0,74.4,74.4,2029-10-31,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005ixo,PRO-002270
Torfichen Energy Park,Renewable Energy Systems Limited,Torfichen Energy Park 132kV Substation,,0,150,150,2030-10-31,Scoping,Directly Connected,SPT,Energy Storage System; Wind Onshore,a0l8e0000010wRI,PRO-002598
Tormsdale Windfarm,ARISE AB,Mybster 3 132/33kV Substation,,0,70,70,2027-06-30,Scoping,Directly Connected,SHET,Wind Onshore,a0l4L0000005iRQ,PRO-001904
Torness,EDF ENERGY NUCLEAR GENERATION LIMITED,Torness GSP,,1250,0,1250,,Built,Directly Connected,SPT,Nuclear,a0l4L0000005ioR,PRO-000146
Torr Achilty (part of the Conon Cascade),SSE GENERATION LIMITED,Torr Achilty (Conan Cascade Hydro Scheme),,15,0,15,,Built,Embedded,SHET,Hydro,a0l4L0000005iVc,PRO-000186
Torridge 2 Offshore Wind Farm,UK MAINSTREAM RENEWABLE POWER LIMITED,Alverdiscott 400kV Substation,,0,1000,1000,2036-12-06,Scoping,Directly Connected,NGET,Wind Offshore,a0l8e0000010wj4,PRO-002795
Torridge Offshore Wind Farm,UK MAINSTREAM RENEWABLE POWER LIMITED,Alverdiscott 400kV Substation,,0,1500,1500,2031-10-31,Scoping,Directly Connected,NGET,Wind Offshore,a0l4L0000005iy6,PRO-001917
Tottenham,PIVOTED POWER LLP,Tottenham GSP,,0,49.9,49.9,2024-10-31,Scoping,Directly Connected,NGET,Energy Storage System,a0l4L0000005ieG,PRO-001060
Touch Energy Park,Naturalis Energy Developments Ltd,Stirling GSP,,0,60,60,2026-09-30,Scoping,Embedded,SPT,Energy Storage System; Wind Onshore,a0l4L0000005iWX,PRO-001816
Trafalgar Park,VIRIDIS 178 LIMITED,Willington 132kV Substation,,14,0,14,,Built,Embedded,NGET,Thermal,a0l4L0000005izf,PRO-000242
Trafford Power,WAINSTONES ENERGY LIMITED,Carrington 400KV Substation,1,0,1040,1040,2025-10-30,Consents Approved,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005izi,PRO-000276-1
Trafford Power,WAINSTONES ENERGY LIMITED,Carrington 400KV Substation,2,0,1040,2080,2036-10-30,Scoping,Directly Connected,NGET,CCGT (Combined Cycle Gas Turbine),a0l4L0000005izi,PRO-000276-2
Tralorg Wind Farm,TRALORG WIND FARM LIMITED,Tralorg Wind Farm 33kV Substatio,,20,0,20,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005itA,PRO-000357
Trawsfynydd B Cwmni Egino,Cwmni Egino,Trawsfynydd 275kV Substation,,0,940,940,2037-11-01,Scoping,Directly Connected,NGET,Nuclear,a0l8e0000012gZA,PRO-004421
Triton Knoll Offshore Wind Farm,TRITON KNOLL OFFSHORE WIND FARM LIMITED,Triton Knoll Offshore Substation,,824,0,824,,Built,Directly Connected,NGET,Wind Offshore,a0l4L0000005ipZ,PRO-000193
Troston Wind Farm,TROSTON WINDFARM LIMITED,Troston Wind Farm 132kV Substation,,0,68,68,2027-10-31,Awaiting Consents,Directly Connected,SPT,Wind Onshore,a0l4L0000005iff,PRO-001115
Tulliallan BESS,IGP ENERGY STORAGE 6 LIMITED,Kincardine 275kV Substation,,0,500,500,2031-10-31,Scoping,Directly Connected,SPT,Energy Storage System,a0l8e00000120Ih,PRO-003619
Tullo Wind Farm,TULLO WIND FARM LIMITED,Bridge of Dun GSP,,17,0,17,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iVv,PRO-000252
Tullymurdoch Wind Farm,TULLYMURDOCH LIMITED,Coupar Angus GSP,,17.5,0,17.5,,Built,Embedded,SHET,Wind Onshore,a0l4L0000005iWL,PRO-000313
Tween Bridge Solar Park,RWE RENEWABLES UK ONSHORE WIND LIMITED,Tween Bridge 400kV,1,0,340,340,2029-10-31,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iZU,PRO-001990-1
Tween Bridge Solar Park,RWE RENEWABLES UK ONSHORE WIND LIMITED,Tween Bridge 400kV,2,0,250,590,2032-11-30,Scoping,Directly Connected,NGET,Energy Storage System; PV Array (Photo Voltaic/solar),a0l4L0000005iZU,PRO-001990-2
Twentyshilling Wind Farm,TWENTYSHILLING LIMITED,Glenglass 132/33kV Substation,,37.8,0,37.8,,Built,Directly Connected,SPT,Wind Onshore,a0l4L0000005iZ7,PRO-001365
